date,360ONE,ABB,ABCAPITAL,ACC,ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,ADANIPOWER,ALKEM,AMBUJACEM,APLAPOLLO,APOLLOHOSP,ASHOKLEY,ASIANPAINT,ASTRAL,ATGL,AUBANK,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANKBARODA,BANKINDIA,BDL,BEL,BHARATFORG,BHARTIARTL,BHARTIHEXA,BHEL,BIOCON,BLUESTARCO,BOSCHLTD,BPCL,BRITANNIA,BSE,CANBK,CGPOWER,CHOLAFIN,CIPLA,COALINDIA,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CUMMINSIND,DABUR,DIVISLAB,DIXON,DLF,DMART,DRREDDY,EICHERMOT,ETERNAL,EXIDEIND,FEDERALBNK,FORTIS,GAIL,GLENMARK,GMRAIRPORT,GODFRYPHLP,GODREJCP,GODREJPROP,GRASIM,HAL,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,HINDZINC,HUDCO,ICICIBANK,ICICIGI,IDEA,IDFCFIRSTB,IGL,INDHOTEL,INDIANB,INDIGO,INDUSINDBK,INDUSTOWER,INFY,IOC,IRB,IRCTC,IREDA,IRFC,ITC,JINDALSTEL,JIOFIN,JSWENERGY,JSWSTEEL,JUBLFOOD,KALYANKJIL,KEI,KOTAKBANK,KPITTECH,LICHSGFIN,LICI,LODHA,LT,LTF,LTIM,LUPIN,M&M,M&MFIN,MANKIND,MARICO,MARUTI,MAXHEALTH,MAZDOCK,MFSL,MOTHERSON,MOTILALOFS,MPHASIS,MRF,MUTHOOTFIN,NATIONALUM,NAUKRI,NESTLEIND,NHPC,NMDC,NTPC,NYKAA,OBEROIRLTY,OFSS,OIL,ONGC,PAGEIND,PATANJALI,PAYTM,PERSISTENT,PFC,PHOENIXLTD,PIDILITIND,PIIND,PNB,POLICYBZR,POLYCAB,POWERGRID,POWERINDIA,PRESTIGE,RECLTD,RELIANCE,RVNL,SAIL,SBICARD,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SOLARINDS,SONACOMS,SRF,SUNPHARMA,SUPREMEIND,SUZLON,TATACOMM,TATACONSUM,TATAELXSI,TATAPOWER,TATASTEEL,TATATECH,TCS,TECHM,TIINDIA,TITAN,TMPV,TORNTPHARM,TORNTPOWER,TRENT,TVSMOTOR,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VBL,VEDL,VOLTAS,WIPRO,YESBANK,ZYDUSLIFE
2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-14,0.05149886436000512,-0.534256776629221,0.39025056517033346,-0.5253472493826453,0.39616095050740696,-0.7028221155465529,2.255901182384749,-1.0662236080017957,0.157496578692127,-0.551522033984396,0.04530770066552722,0.14414325322353536,-0.24009616492769406,-0.7976300418415907,-0.38037210537487554,1.0090452141071884,-0.8939276613790095,0.574035772593567,0.03720231810712124,-0.24559315858130717,-1.0376881195318595,0.16868638070562678,-0.6804071140084116,-0.026117152743627893,1.8543940306829472,-0.056755465489092556,1.1468586977194062,-0.8755703499373875,-0.7870585835234017,-1.6284212652480876,,-0.25106089317176766,-0.27988078212627343,0.5000339185905361,-0.5000745898264762,-0.8342342882998666,-0.7948207934306294,-0.18205240346177184,1.5553320059007085,0.4436353443738292,0.6794659274694701,-0.9545072110901258,-1.062142136976225,-0.5578092113187892,2.392283519709127,-1.1217310027966443,-0.29711110360249887,-0.8376795079655529,-0.7992213193317618,-0.7468184705489211,-0.20679723636922553,1.791588301560377,-0.4726207596633096,0.16561704770837857,-0.1706842632094919,-0.7681492074485605,6.308652646242622,-0.5539344439359145,0.07264608226608324,0.23139842133231575,-0.7377745090511239,-0.47248956814527987,0.21900741795394155,-0.22642445249808602,-0.1035281180585349,1.8164764370546507,-0.0734156032926793,-0.10305954972930627,0.7774245652893363,0.4470450887783412,0.2235685754169915,-1.114128406924849,-0.13775313577701231,-0.644899979747256,-0.7299129830740747,0.1358857079755461,-0.02984291742169815,-0.7541956773584194,-0.24149278092684898,-1.024620391336386,-0.6642403118404978,3.433546203157729,-0.10837666247752971,1.1889814401846805,0.18168339071287948,0.7246933999645605,-0.10151810532629688,-0.43804784394275864,-0.5936077283867304,-0.600294266047245,-0.6031828926327488,1.4649085942317135,-1.2040263704482086,,-0.9415341978202504,0.029842917421697444,-0.5221569375685108,,-0.37305405181383305,-0.8131629926371889,1.3301185086634935,0.06339611721693347,0.2265266973039273,-0.6922191187032103,1.3041963158361352,0.1423456396136602,,-0.3939887355741007,-0.933374753576934,-0.2852560753197136,1.2114790400243471,0.8098882746540089,-1.0214726168830972,-0.4729157947984366,,-0.7586824560506791,-0.6461783155114952,0.3533417010358334,-0.3402256298974383,1.292116474041206,1.1964769564908386,-0.44426109083861176,-0.23261098957518297,-0.29487405415108625,-0.2281636669473857,-0.11688764603414029,1.4155435490501462,-0.3968724864012767,-0.3471152983377886,0.09684524665765744,-0.9044197220401256,2.0408098878542598,-0.6945166270050341,0.9714324054330632,0.13456214109565415,-0.4772350547970326,-0.42547539161358083,0.01820931144242023,3.4002417503169884,-0.038366214695261296,-0.8429298152537796,-0.5055300080702838,0.14060210115229685,1.2639057145951362,-0.21589582335079455,1.4370700230453046,-0.29831763040911197,-1.0441281481638631,2.0260663224370576,-0.005030207661981223,-0.9590603917854398,-1.2302534199421977,-0.4283537534094468,-0.35676168651268036,0.008926258722767526,-0.40241533737278584,-0.5453664929172758,0.3241176322979054,-0.5019591011366744,-0.9324129584062707,-0.4359656656649746,1.3216984092619242,-0.2388769192238214,-0.7844252549218853,0.44914384701622323,0.9559077159483549,1.144152463802653,-0.9714398179448432,1.2326358424117254,-0.5540609635625415,-0.8065257548048613,,-1.4360883027936273,1.3171253700842507,-0.0012992854883600705,-0.6098875972885051,-1.3484662979398563,1.9456225251215966,0.41321947233386563,-0.10697454756747359,-0.9525005835280984,-0.6547569032760275,0.21016100857341982,-0.4692639544525335,-0.2815364735356944,-0.4150481072258506,-9.39234943474666e-16,-0.7043191891287143,1.747421580002212,-0.6247568412362916,0.6275932319639482
2022-02-15,-0.10245463936552293,-0.29866783706457956,0.4467334498704359,-0.5115929744596505,0.28294772273358126,-0.7268900714717692,2.089723306338029,-1.006196226490653,0.16587250463046624,-0.5544204821483191,0.10477155385378867,0.1897233570434007,-0.2780497228516818,-0.8230065438771772,-0.38720830805343054,1.3478532857244352,-0.9090009997820453,0.3179878668205866,-0.02937096031439428,-0.20495661910024882,-1.0791624498908547,0.17425596324584153,-0.7101352228038553,0.020217322764268075,1.8086708134015823,-0.0563699478047069,1.0849439033124855,-0.8308464207795179,-0.8108870192017144,-1.5955028216019398,,-0.16460317200913985,-0.24774727469244895,0.4554605522674661,-0.495724845331308,-0.7839430427427887,-0.779499721194631,-0.1500916859361494,1.4332225856198966,0.4718636839764226,0.6479133153553464,-0.9267134252098337,-1.073422781535049,-0.42560154754016044,2.340442453606725,-1.1365621579581267,-0.23805627008764765,-0.911464446528195,-0.7883542497830025,-0.76516501394893,-0.25114089422571945,1.7417408738680777,-0.43359569900089345,0.11608015514952126,-0.22160497269904142,-0.8130696363746475,6.558929250756549,-0.46447909423355016,-0.049477598556034535,0.05090236346301514,-0.8585543151356854,-0.5540397765708733,0.17457964179179766,-0.2575357747513753,-0.017876571016223176,1.7909309422025352,-0.09987083665069417,-0.2205236056180262,0.6945928764696061,0.4457193296463238,0.24923936172556416,-1.0394931949449773,-0.008955742435781929,-0.7226080690598414,-0.6920219967909871,0.15282750007796386,-0.03372002273146339,-0.7642549435219176,-0.08082042075385708,-0.9831512800349012,-0.5615523569902457,3.08361046074274,-0.07181048209654087,1.2231760071421893,0.01577888539638278,0.7330024651610597,-0.08103883260108004,-0.33391147074421446,-0.6527859758914242,-0.5902046244951531,-0.732986200288353,1.5019062421432372,-1.1101658583511684,,-0.9602085920446465,0.0337200227314647,-0.5202162708766617,,-0.31292847073662045,-0.778318371309938,1.3043116027215045,0.10572732116903968,0.30153667202281653,-0.6332483576975977,1.271852649983359,0.10010713777009969,,-0.40352154187827394,-0.9091036806693678,-0.25410091316910666,1.0887976869603977,1.0518783629727912,-1.0430926215762075,-0.4952360801846852,,-0.8022333510463402,-0.7103204041826388,0.1311859161767097,-0.3125888621511134,1.3083422970019853,1.2847057575927248,-0.43587378152441575,-0.3465404627438589,-0.18838791459833834,-0.0997561444966533,-0.07451369155185734,1.3809363788111253,-0.41854324832660866,-0.3607919420273953,0.17635237857376654,-0.9868044603452527,2.477160299327087,-0.7342200003587221,0.8760979748907367,0.04288513505318385,-0.6335633598590847,-0.4872014057989684,-0.05749672951285577,3.330085898117827,-0.2417024522785678,-0.8494804306344026,-0.5169849622109065,0.20083426181556513,1.1493056839237346,-0.19679336007402723,1.4699988344758421,-0.3022188988354543,-0.9847135288966762,2.047567264588824,0.11795000830450601,-0.8427346048446767,-1.1888130384192341,-0.3884624664913338,-0.3149995290235134,0.02811359110835646,-0.30481720356621106,-0.6128812459802466,0.2621347471298379,-0.48628407762199616,-0.9397509570255391,-0.5077146282437471,1.163843056894247,-0.26339932435230373,-0.7607868886673056,0.4672839034682055,1.2600926809280102,1.1918652136005012,-0.9526530664750917,1.161778665942698,-0.558941346730536,-0.7463542891025751,,-1.39053165738505,1.262758815376477,-0.10880570987606356,-0.6069667650833064,-1.3516934552913957,1.9848381355802598,0.6656362150344051,-0.1588329981167164,-0.9458892314315517,-0.6317378057295404,0.2540340960629204,-0.4829317358100782,-0.2104453055307351,-0.4193076753884416,1.0272442212534776e-16,-0.6918874177460534,1.6179344401793736,-0.5751354149119767,0.5091081759748999
2022-02-16,-0.23382964497086697,-0.09191272448472528,0.4979799930692038,-0.5411221853087704,0.14647623721015895,-0.7165716268483456,1.8040965842373067,-1.0277347438384465,0.15193510113205858,-0.5159148703989361,0.13960096081625495,0.23663316065415066,-0.25026223728913954,-0.8285107618152963,-0.3817633767430724,1.6661090577737863,-0.7904810248399752,0.12675440351973577,-0.05370592117252725,-0.18906768080051017,-1.1291778488031068,0.24496920535152006,-0.7586474398369553,0.1015250027132423,1.8672664099781209,-0.04206308785543072,1.0394960255080976,-0.8402139653877487,-0.8282557444503245,-1.612834527293013,,-0.08054237319303423,-0.18408567779793608,0.4634693878511758,-0.4730774725600817,-0.7815801174616906,-0.7503139182994819,-0.14389871046424782,1.44562371877206,0.41499384003463036,0.5783381399281441,-0.947173169530256,-1.1435696455959927,-0.3072540434682798,2.3334477015652757,-1.1595904437651823,-0.17878656820489433,-0.9366736898393816,-0.802596162823663,-0.7718074373809782,-0.3450530478562037,1.7939687951769314,-0.32218262546499127,0.0694026637379477,-0.2937231128526226,-0.7989311118631426,6.471580298197897,-0.3673781761475978,-0.15309613136621744,-0.07664304910942132,-0.9829737565706147,-0.5900211863043924,0.14815223162170524,-0.2552879859298759,-0.004174112759159644,1.8023003121236654,-0.13198914131594874,-0.3099347757476973,0.5920782732938368,0.40899422807550073,0.2566506696950815,-1.0264620941525249,0.027592678164104448,-0.7750237182735976,-0.6812449046639196,0.09470024892097666,-0.042354084312127886,-0.7879577742286872,0.07581605460311215,-0.9264567802391873,-0.46435587210358154,2.905878855747959,-0.03167354745913785,1.208825215938986,-0.07355317943246008,0.7844937116468182,-0.0004231789629364201,-0.2729960078828236,-0.6786753795077641,-0.5903721412842826,-0.8947324183565333,1.4986477318652593,-1.0763613477064309,,-0.9657662982146403,0.04235408431212387,-0.519029780421321,,-0.2521226771215962,-0.7440860329430045,1.5924169930735737,0.12269003518164343,0.4430353468995028,-0.6152070390089337,1.283637282701935,0.12335258453653869,,-0.4702459691202635,-0.8514711278115663,-0.2508745534565796,1.0517436426083213,1.1886143900775679,-1.0788905832641473,-0.600968685397802,,-0.8029579897777883,-0.7720681392998598,-0.10936318581947362,-0.3844900913712057,1.449263158703401,1.4421356785153407,-0.5117100039327314,-0.43870177472217053,-0.06195891962338197,-0.03377637134424162,-0.052605231576402844,1.5161511624755497,-0.4504999537718777,-0.38980949328448455,0.13856922828637655,-0.9757622571574589,2.680104162319071,-0.7465880461744708,0.8741977320611448,-0.16398828892051764,-0.8310017248219395,-0.48435205010304166,-0.121075833808576,2.9739410694193356,-0.2825211494097628,-0.8645123370591647,-0.5549497974442722,0.27704227549650595,1.0393810314477443,-0.1897454184120631,1.6176007930361547,-0.24647169887336573,-0.8349353434428088,1.998244808489478,0.20078405015437598,-0.7873913353104555,-1.1728627072679239,-0.35448890311018244,-0.305382465369655,-0.00557182821239386,-0.2195337399643222,-0.6478099024169969,0.23612264537580546,-0.5064681887920808,-0.9270893031946913,-0.5394858287499305,1.1884271024063118,-0.2570347239038743,-0.7398453318928773,0.47333432109798695,1.1924755719415339,1.354643666307711,-0.9375043182959218,1.1788733739071195,-0.5665612856036256,-0.7017967447296006,,-1.3879519609565556,1.2170137834472006,-0.28397349110648445,-0.5964958779658646,-1.3455561084452277,2.0038996707710655,0.9166831340304472,-0.11117746144097858,-0.9316981748061883,-0.6214473511372287,0.2500579910455319,-0.4580789648889164,-0.14055351147049358,-0.4620081013775505,-8.139790900984941e-16,-0.7120950430859938,1.5148419429725382,-0.6370178841976536,0.47700825695711807
